TOTAL_STIMULUS_REC: 423
NLP_parse_percentage_in_AF: 3.78451e-08
Logged_at: 08:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
3503212316025371620, however@51a2f683-8ccd-4b27-a1c6-5401438b13ed, 21:47:46:055, 21:48:01:067, 66.4472, 15.012, 0,  - , 27.3721
3504408584676341724, however@51a2f683-8ccd-4b27-a1c6-5401438b13ed, 21:47:46:055, 21:48:01:067, 773.56, 15.012, 0,  - , 448.333
3515827660004120321, punctuation, 21:47:46:055, 21:48:01:067, 293.105, 15.012, 0,  - , 64.1725
3551780116920508097, $W, 21:47:46:900, 21:47:47:006, 0.273736, 0.105972, 1,  - , 2.19579
3559342699124585691, have, 21:47:46:362, 21:48:01:067, 106.319, 14.7058, 0, 5100, 12.5
3564293133531722299, most@9038ee4f-57a1-4456-9bf0-2f0f21b8923c, 21:48:16:340, 21:48:01:067, 43.0317, -15.2729, 0,  - , 25.9833
3802348935273864980, DIFFUSION_TOURNAMENT_SIZE, 21:47:46:626, 21:48:01:067, 53.7607, 14.4411, 1,  - , 11.7722
3829527225902311555, $wh-word-inst, 21:47:46:055, 21:48:01:067, 41.4742, 15.012, 1,  - , 17.6848
3883608888077842237, by@a9334128-4fcc-4174-aac5-514f53b7937e, 21:47:52:045, 21:48:01:067, 93.0909, 9.0226, 0,  - , 44.3333
3914807722160879848, SV, 21:47:46:055, 21:47:54:465, 13.9791, 8.40978, 1,  - , 8
3916133494786711546, Wp, 21:47:46:362, 21:47:51:035, 12.6954, 4.67341, 1,  - , 5.58949
4024552219502865781, STARTING_ATOM_STI_RENT, 21:47:46:626, 21:47:50:501, 23.652, 3.87478, 1,  - , 10.7512
4112231225048114977, Qw, 21:47:46:362, 21:47:51:035, 11.9137, 4.67341, 1,  - , 6.03818
4197178249922331543, extensor[!<C-NOUN-WORDS>], 21:47:46:362, 21:48:01:067, 503.313, 14.7058, 0, 300, 1
4310174421878564629, WordInstanceNode, 21:47:46:055, 21:48:01:067, 58.3151, 15.012, 1,  - , 77.5624
4357836516446048553, belonging@40385e25-051b-4489-8f19-1fd9f243f8b7, 21:47:50:726, 21:47:51:035, 6.09061, 0.3091, 0,  - , 4.7081
4405457219550235508, do@807bdad4-b92a-4e7c-a340-e3f8ff2b0441, 21:47:46:055, 21:47:57:943, 35.4394, 11.8878, 0,  - , 12.416
4405949800759458492, do@807bdad4-b92a-4e7c-a340-e3f8ff2b0441, 21:47:46:055, 21:48:01:067, 1442.84, 15.012, 0,  - , 253.867
4478193959594061247, $prep, 21:47:46:730, 21:47:46:795, 1.67755, 0.0648963, 1,  - , 3.78414
4563804703565619791, $verb2, 21:47:46:900, 21:47:46:900, 0.617956, 0, 1,  - , 3.78414
4666106252242727128, person, 21:47:57:582, 21:48:01:067, 46.195, 3.48532, 1,  - , 1.33333
4695179668053810680, Qe, 21:47:46:362, 21:47:54:576, 9.92522, 8.2146, 1,  - , 6.03818
4748449755459310560, cannot@d4a99f72-a59c-4d39-81cb-d2063ea3cc2c, 21:47:46:055, 21:48:01:067, 578.012, 15.012, 0,  - , 1292.34
4768775360993947864, by@142ee1ef-131a-4c9e-b7ca-9b24b8ad3f13, 21:47:57:091, 21:48:01:067, 81.0667, 3.97598, 0,  - , 30.3955
4821139800780441463, today, 21:47:46:626, 21:47:47:645, -1.40121e-08, 1.01913, 0, 600, 1
4871138494386809067, $adj, 21:47:46:900, 21:47:46:900, 0.258221, 0, 1,  - , 1.31747
4881652161262138740, 20.000000, 21:47:56:975, 21:47:56:975, 29.3672, 0, 0,  - , 32.2806
4890380734110793671, declarative, 21:47:46:795, 21:47:48:716, 9.71788, 1.92093, 1,  - , 4.43236
4895729370997130312, 0.000000, 21:47:46:055, 21:47:59:001, 10.1589, 12.9455, 1,  - , 39
4988277262201570917, this@df72bc5f-c302-4fb2-acbe-7bc8c46117f2, 21:47:46:055, 21:48:01:067, 58.9855, 15.012, 0,  - , 21.7607
4989473530852541021, this@df72bc5f-c302-4fb2-acbe-7bc8c46117f2, 21:47:46:055, 21:48:01:067, 875.778, 15.012, 0,  - , 452.25
5052946595490048970, by@4eb5e6d7-d9c9-45c4-9eeb-400ea1507335, 21:47:57:091, 21:48:01:067, 58.9576, 3.97597, 0,  - , 30.1455
5092492765509940033, .@f9af2244-c35c-429b-8691-fde8dc32e218, 21:47:49:033, 21:48:01:067, 44.2678, 12.0342, 0,  - , 9.1658
5116804662681211119, pressure, 21:47:46:362, 21:48:01:067, 669.567, 14.7058, 0, 300, 2
5136537677380679623, extensor, 21:47:56:975, 21:48:01:067, 52.4527, 4.09228, 0,  - , 21.0916
5157401095695396337, 1748872065, 21:47:46:730, 21:47:50:938, 7.824, 4.20859, 0,  - , 4.63618
5254874161515030692, world@c1382950-44fe-47f0-a5ed-1b83374d0501, 21:47:50:832, 21:47:50:938, 4.01737, 0.105904, 0,  - , 4.33333
5261105809058726439, verb, 21:47:46:055, 21:48:01:067, 182.906, 15.012, 1,  - , 83.3741
5309428107461839406, 11.000000, 21:47:46:055, 21:48:01:067, 64.7602, 15.012, 0,  - , 30.1725
5319137675165988851, $Y, 21:47:47:006, 21:47:47:006, 0.612549, 0, 1,  - , 4.06351
5359637390570449044, most@171c5799-b7ff-4d32-9341-31dfcba0629b, 21:47:46:055, 21:48:01:067, 66.7869, 15.012, 0,  - , 32.7683
5360833659221419148, most@171c5799-b7ff-4d32-9341-31dfcba0629b, 21:47:46:055, 21:48:01:067, 576.527, 15.012, 0,  - , 657.083
5394781719601839463, Ww, 21:47:46:362, 21:47:51:035, 0, 4.67341, 1,  - , 6.03818
5473955398233272115, $Z, 21:47:46:900, 21:47:47:006, 0.442863, 0.10597, 1,  - , 3.31351
5486005446527628939, Dialogue-System, 21:47:46:730, 21:47:50:832, 14.8243, 4.10269, 1,  - , 4.63618
5519806764869170600, their@6c3ac5a0-63d7-48b5-ba2e-296b21dad69f, 21:47:56:610, 21:48:01:067, 101.592, 4.45717, 0,  - , 17.0317
5522545069690564594, by@c50d54a5-a6bc-4eec-ac31-5665d9554ae4, 21:47:51:935, 21:48:01:067, 93.0909, 9.13196, 0,  - , 44
5534026884831961884, 6.000000, 21:47:46:055, 21:48:01:067, 112.376, 15.012, 0,  - , 73.2078
